code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,330.0,324.0,Points decrease,41.0,47.0,6.0
CK113,Criminology - 3 years or 4 years (International Pa,464.0,423.0,408.0,Points decrease,41.0,56.0,15.0
CK114,Social Science (Youth and Community Work),,,,Points decrease,,,
CK115,Social Work - Mature Applicants only,,,,Points decrease,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,336.0,307.0,Points decrease,11.0,40.0,29.0
CK120,Applied Psychology,544.0,533.0,506.0,Points decrease,11.0,38.0,27.0
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,466.0,393.0,Points decrease,33.0,106.0,73.0
CK122,Government and Political Science,399.0,337.0,355.0,Points decrease,62.0,44.0,-18.0
CK123,Anthropology,308.0,308.0,,Points decrease,0.0,,
CK124,Education - Gaeilge,473.0,463.0,,Points decrease,10.0,,
CK125,Sports Studies and Physical Education,564.0,510.0,,Points decrease,54.0,,
CK201,Commerce,500.0,477.0,465.0,Points decrease,23.0,35.0,12.0
CK202,Accounting,553.0,509.0,467.0,Points decrease,44.0,86.0,42.0
CK203,Business Information Systems,455.0,430.0,409.0,Points decrease,25.0,46.0,21.0
CK204,Finance,566.0,556.0,531.0,Points decrease,10.0,35.0,25.0
CK205,Commerce (International) with French,465.0,445.0,409.0,Points decrease,20.0,56.0,36.0
CK206,Commerce (International) with German,466.0,420.0,408.0,Points decrease,46.0,58.0,12.0
CK207,Commerce (International) with Italian,423.0,388.0,408.0,Points decrease,35.0,15.0,-20.0
CK208,Commerce (International) with Hispanic Studies,488.0,402.0,431.0,Points decrease,86.0,57.0,-29.0
CK209,Commerce (International) with Irish,507.0,484.0,509.0,Points decrease,23.0,-2.0,-25.0
CK211,Commerce (International) with Chinese Studies,385.0,397.0,398.0,Points decrease,-12.0,-13.0,-1.0
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0,400.0,Points decrease,1.0,45.0,44.0
CK213,Food Marketing and Entrepreneurship,466.0,462.0,,Points decrease,4.0,,
CK214,International Development,332.0,346.0,,Points decrease,-14.0,,
CK301,Law (Pathways) -  3 or 4 years,533.0,507.0,476.0,Points decrease,26.0,57.0,31.0
CK302,Law and French,545.0,542.0,453.0,Points decrease,3.0,92.0,89.0
