,code,title
719,LC226,Enterprise and Innovation
720,LC233,Software Development
721,LC234,Immersive Digital Media and Spatial Computing
722,LC236,Internet Systems Development
723,LC239,Computer Networks and Systems Management
724,LC241,Construction Management
725,LC242,Property Valuation and Management
726,LC243,Quantity Surveying
727,LC248,Built Environment (Common Entry)
728,LC252,Civil Engineering Management
729,LC263,Medical Technology
730,LC265,Forensic and Pharmaceutical Sciences
731,LC266,Drug and Medicinal Product Analysis
732,LC275,Electrical Engineering
733,LC288,Mechanical Engineering
734,LC289,Precision Engineering
735,LC292,Social Care Work
736,LC293,Business Studies with Travel and Tourism Managemen
737,LC294,Business Studies with Event Management
738,LC295,Business Studies with Sports Management
739,LC297,Community and Addiction Studies
740,LC320,Business
741,LC330,Business with Computing
742,LC340,Interior Design
743,LC362,Biotechnology and Biopharmaceutical Sciences
744,LC371,Creative Broadcast and Film Production
745,LC372,Music Technology and Production
746,LC374,Renewable and Electrical Energy Engineering
747,LC375,Industrial Automation and Robotic Systems
748,LC376,Electronic Engineering with Computer Systems
749,LC380,Automotive Engineering and Transport Management
750,LC392,Business Studies in Beauty and Spa Management
751,LC393,Early Childhood Education and Care
752,LC402,Social Care Work
753,LC408,Environmental Science and Climate
754,LC416,Business
755,LC418,Computing - Games Design and Development
756,LC422,Applied Strength and Conditioning
757,LC502,Game Art and Design (portfolio)
758,LC517,Creative Media and Design
759,LC518,Digital Animation Production (portfolio)
760,LC612,Social Care Work
761,LM002,Arts
762,LM019,Social Sciences
763,LM020,Law and Accounting
764,LM026,Performing Arts (audition format TBC)
765,LM028,Criminal Justice
766,LM029,Law Plus
767,LM038,Psychology and Sociology
768,LM039,Journalism and Digital Communication
769,LM040,European Studies
770,LM044,Applied Languages
771,LM050,Business Studies (options)
772,LM056,International Business
773,LM058,Financial Mathematics
774,LM063,Technology Management
775,LM066,Environmental Science
776,LM068,Food Science and Health
777,LM076,Product Design and Technology (portfolio required)
778,LM077,Aeronautical Engineering
779,LM082,Construction Management and Engineering
780,LM089,Sport and Exercise Sciences
781,LM090,Physical Education with concurrent Teacher Educati
782,LM091,Languages with concurrent Teacher Education
783,LM092,Science with Teacher Ed (Biology with Physics/Chem
784,LM093,Equine Science
785,LM094,Materials and Architectural Technology with concur
786,LM095,Materials and Engineering Technology with concurre
787,LM096,Science with Teacher Ed (Physical Sciences with Ch
788,LM097,Mathematics and Computer Science with concurrent T
789,LM099,Architecture
790,LM100,Physiotherapy
791,LM101,Medicine  - Graduate Entry (GAMSAT required)
792,LM102,Psychology
793,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L
794,LM105,Exercise and Health Fitness Management
795,LM115,Chemical and Biochemical Engineering
796,LM116,Engineering (Biomedical/Civil/Design and Manufactu
797,LM118,Electronic and Computer Engineering
798,LM121,Computer Science (Computer Systems/Games Dev/Cyber
799,LM122,Creative Media and Interaction Design (Digital Des
800,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind
801,LM124,Mathematics (Math Science/Maths and Physics/Econom
802,LM125,Physics (Applied Physics or Mathematics and Physic
803,LM150,General Nursing
804,LM152,Mental Health Nursing
805,LM154,Intellectual Disability Nursing
806,LM156,Midwifery
807,MU001,Theology and Arts
808,MU002,Theology
809,MH001,Education - Primary Teaching (Froebel)
810,MH002,Education - Primary Teaching - Gaeltacht Applicant
