code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21 vs 20,21 vs 19,20 vs 19,,,,,,
DN440,Biomedical  Health and Life Sciences,613,590,565,Points decrease,23,48,25,23,48,25,TRUE,TRUE,TRUE
DN450,General Nursing,462,429,398,Points decrease,33,64,31,33,64,31,TRUE,TRUE,TRUE
DN451,Children`s and General Nursing (Integrated),533,509,462,Points decrease,24,71,47,24,71,47,TRUE,TRUE,TRUE
DN452,Midwifery,510,489,409,Points decrease,21,101,80,21,101,80,TRUE,TRUE,TRUE
DN453,Mental Health Nursing,442,397,379,Points decrease,45,63,18,45,63,18,TRUE,TRUE,TRUE
DN520,Joint Honours (options),381,310,336,Points decrease,71,45,-26,71,45,-26,TRUE,TRUE,TRUE
DN530,Humanities (options),397,340,348,Points decrease,57,49,-8,57,49,-8,TRUE,TRUE,TRUE
DN541,Modern Languages (options),320,303,348,Points decrease,17,-28,-45,17,-28,-45,TRUE,TRUE,TRUE
DN600,Law (options),576,546,520,Points decrease,30,56,26,30,56,26,TRUE,TRUE,TRUE
DN610,Business and Law,573,545,521,Points decrease,28,52,24,28,52,24,TRUE,TRUE,TRUE
DN650,Commerce,555,521,498,Points decrease,34,57,23,34,57,23,TRUE,TRUE,TRUE
DN660,Commerce International (options),555,517,507,Points decrease,38,48,10,38,48,10,TRUE,TRUE,TRUE
DN670,Economics and Finance,625,613,601,Points decrease,12,24,12,12,24,12,TRUE,TRUE,TRUE
DN700,Social Sciences (options),475,421,388,Points decrease,54,87,33,54,87,33,TRUE,TRUE,TRUE
DN710,Economics,534,498,476,Points decrease,36,58,22,36,58,22,TRUE,TRUE,TRUE
DN720,Psychology,566,530,517,Points decrease,36,49,13,36,49,13,TRUE,TRUE,TRUE
DN750,Social Policy and Sociology,421,378,330,Points decrease,43,91,48,43,91,48,TRUE,TRUE,TRUE
DK810,Accounting and Finance,307,305,306,Points decrease,2,1,-1,2,1,-1,TRUE,TRUE,TRUE
DK816,Business Studies,301,300,300,Points decrease,1,1,0,1,1,0,TRUE,TRUE,TRUE
DK820,Computing in Games Development,309,311,307,Points decrease,-2,2,4,-2,2,4,TRUE,TRUE,TRUE
DK821,Computing in Software Development,320,302,301,Points decrease,18,19,1,18,19,1,TRUE,TRUE,TRUE
DK822,Augmented and Virtual Reality,320,307,,Points decrease,13,,,13,320,307,TRUE,FALSE,FALSE
DK830,Building Surveying,305,336,302,Points decrease,-31,3,34,-31,3,34,TRUE,TRUE,TRUE
DK831,Architectural Technology,368,389,301,Points decrease,-21,67,88,-21,67,88,TRUE,TRUE,TRUE
DK832,Construction Management,358,387,300,Points decrease,-29,58,87,-29,58,87,TRUE,TRUE,TRUE
DK843,Engineering (Common Entry),404,340,303,Points decrease,64,101,37,64,101,37,TRUE,TRUE,TRUE
DK844,Mechanical Engineering,336,305,,Points decrease,31,,,31,336,305,TRUE,FALSE,FALSE
DK845,Electrical and Electronic Engineering,331,304,,Points decrease,27,,,27,331,304,TRUE,FALSE,FALSE
DK846,Civil Engineering,371,391,,Points decrease,-20,,,-20,371,391,TRUE,FALSE,FALSE
DK850,International Tourism Management,303,317,,Points decrease,-14,,,-14,303,317,TRUE,FALSE,FALSE
DK861,Arts,302,302,300,Points decrease,0,2,2,0,2,2,TRUE,TRUE,TRUE
DK862,Social Care,322,301,300,Points decrease,21,22,1,21,22,1,TRUE,TRUE,TRUE
DK863,Creative Media,336,308,300,Points decrease,28,36,8,28,36,8,TRUE,TRUE,TRUE
DK864,Film and Television Production,308,300,300,Points decrease,8,8,0,8,8,0,TRUE,TRUE,TRUE
DK865,Audio and Music Production,352,301,301,Points decrease,51,51,0,51,51,0,TRUE,TRUE,TRUE
DK870,General Nursing,440,403,392,Points decrease,37,48,11,37,48,11,TRUE,TRUE,TRUE
DK872,Intellectual Disability Nursing,367,336,300,Points decrease,31,67,36,31,67,36,TRUE,TRUE,TRUE
DK874,Mental Health Nursing,398,356,356,Points decrease,42,42,0,42,42,0,TRUE,TRUE,TRUE
DK876,Early Childhood Studies,300,321,305,Points decrease,-21,-5,16,-21,-5,16,TRUE,TRUE,TRUE
DK877,Midwifery,482,440,398,Points decrease,42,84,42,42,84,42,TRUE,TRUE,TRUE
DK880,Health and Physical Activity,301,328,300,Points decrease,-27,1,28,-27,1,28,TRUE,TRUE,TRUE
DK882,Agriculture (Award options),342,310,303,Points decrease,32,39,7,32,39,7,TRUE,TRUE,TRUE
DK883,Science (Award options),373,358,300,Points decrease,15,73,58,15,73,58,TRUE,TRUE,TRUE
DK884,Sustainable Agriculture,348,,,Points decrease,,,,348,348,0,FALSE,FALSE,TRUE
DK885,Agri-Food Production,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
DK886,Biopharmaceutical Science,379,301,,Points decrease,78,,,78,379,301,TRUE,FALSE,FALSE
DK887,Environmental Science,377,330,,Points decrease,47,,,47,377,330,TRUE,FALSE,FALSE
GA181,Accounting,303,309,303,Points decrease,-6,0,6,-6,0,6,TRUE,TRUE,TRUE
GA182,Business,285,287,290,Points decrease,-2,-5,-3,-2,-5,-3,TRUE,TRUE,TRUE
GA183,Business Information Systems,298,296,309,Points decrease,2,-11,-13,2,-11,-13,TRUE,TRUE,TRUE
GA184,Marketing and Sales,300,307,307,Points decrease,-7,-7,0,-7,-7,0,TRUE,TRUE,TRUE
GA185,Finance and Economics,318,293,307,Points decrease,25,11,-14,25,11,-14,TRUE,TRUE,TRUE
GA186,Business with Entrepreneurship,287,280,297,Points decrease,7,-10,-17,7,-10,-17,TRUE,TRUE,TRUE
GA187,Rural Enterprise and Agri-Business,291,281,280,Points decrease,10,11,1,10,11,1,TRUE,TRUE,TRUE
GA281,Film and Documentary,310,304,287,Points decrease,6,23,17,6,23,17,TRUE,TRUE,TRUE
GA282,Heritage Studies,252,220,238,Points decrease,32,14,-18,32,14,-18,TRUE,TRUE,TRUE
GA283,Contemporary Art (portfolio),790,679,260,Points decrease,111,530,419,111,530,419,TRUE,TRUE,TRUE
GA284,Design,331,303,309,Points decrease,28,22,-6,28,22,-6,TRUE,TRUE,TRUE
GA285,Education (Art  Design and Graphics),406,,,Points decrease,,,,406,406,0,FALSE,FALSE,TRUE
GA380,International Hotel Management,218,242,225,Points decrease,-24,-7,17,-24,-7,17,TRUE,TRUE,TRUE
GA381,International Tourism Management,252,278,261,Points decrease,-26,-9,17,-26,-9,17,TRUE,TRUE,TRUE
GA382,Culinary and Gastronomic Science,235,206,225,Points decrease,29,10,-19,29,10,-19,TRUE,TRUE,TRUE
GA384,Event Management with Public Relations,230,212,209,Points decrease,18,21,3,18,21,3,TRUE,TRUE,TRUE
GA480,Construction Management,302,260,260,Points decrease,42,42,0,42,42,0,TRUE,TRUE,TRUE
GA482,Quantity Surveying and Construction Economics,304,288,280,Points decrease,16,24,8,16,24,8,TRUE,TRUE,TRUE
GA483,Architectural Technology,281,265,251,Points decrease,16,30,14,16,30,14,TRUE,TRUE,TRUE
GA484,Civil Engineering,377,290,270,Points decrease,87,107,20,87,107,20,TRUE,TRUE,TRUE
GA580,Software and Electronic Engineering,300,300,301,Points decrease,0,-1,-1,0,-1,-1,TRUE,TRUE,TRUE
GA680,Mechanical Engineering,400,330,336,Points decrease,70,64,-6,70,64,-6,TRUE,TRUE,TRUE
GA681,Energy Engineering,312,293,281,Points decrease,19,31,12,19,31,12,TRUE,TRUE,TRUE
GA682,Biomedical Engineering,331,313,331,Points decrease,18,0,-18,18,0,-18,TRUE,TRUE,TRUE
GA683,Agricultural Engineering,304,309,301,Points decrease,-5,3,8,-5,3,8,TRUE,TRUE,TRUE
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,340,346,Points decrease,73,67,-6,73,67,-6,TRUE,TRUE,TRUE
GA685,Manufacturing Engineering Design,336,309,,Points decrease,27,,,27,336,309,TRUE,FALSE,FALSE
GA780,Applied Freshwater and Marine Biology,366,327,300,Points decrease,39,66,27,39,66,27,TRUE,TRUE,TRUE
GA781,Applied Biology and Biopharmaceutical Science,381,337,317,Points decrease,44,64,20,44,64,20,TRUE,TRUE,TRUE
GA782,Chemical and Pharmaceutical Science,356,336,307,Points decrease,20,49,29,20,49,29,TRUE,TRUE,TRUE
GA783,Physics and Instrumentation,301,363,373,Points decrease,-62,-72,-10,-62,-72,-10,TRUE,TRUE,TRUE
GA784,Science (Undenominated),445,372,327,Points decrease,73,118,45,73,118,45,TRUE,TRUE,TRUE
GA785,Medical Science,517,473,451,Points decrease,44,66,22,44,66,22,TRUE,TRUE,TRUE
GA786,Forensic Science and Analysis,408,317,300,Points decrease,91,108,17,91,108,17,TRUE,TRUE,TRUE
GA787,Computing in Software Development,310,270,275,Points decrease,40,35,-5,40,35,-5,TRUE,TRUE,TRUE
GA788,Computing and Digital Media,270,274,270,Points decrease,-4,0,4,-4,0,4,TRUE,TRUE,TRUE
GA789,Agriculture and Environmental Management,340,287,297,Points decrease,53,43,-10,53,43,-10,TRUE,TRUE,TRUE
GA790,Sport and Exercise Science,376,356,350,Points decrease,20,26,6,20,26,6,TRUE,TRUE,TRUE
GA791,Public Health Nutrition,368,368,364,Points decrease,0,4,4,0,4,4,TRUE,TRUE,TRUE
GA880,General Nursing,440,429,389,Points decrease,11,51,40,11,51,40,TRUE,TRUE,TRUE
GA882,Psychiatric Nursing,369,367,346,Points decrease,2,23,21,2,23,21,TRUE,TRUE,TRUE
GA885,Outdoor Education,269,252,210,Points decrease,17,59,42,17,59,42,TRUE,TRUE,TRUE
GA887,History and Geography,201,244,228,Points decrease,-43,-27,16,-43,-27,16,TRUE,TRUE,TRUE
GA889,Applied Social Care,265,266,260,Points decrease,-1,5,6,-1,5,6,TRUE,TRUE,TRUE
GA890,Early Childhood Education and Care,281,270,278,Points decrease,11,3,-8,11,3,-8,TRUE,TRUE,TRUE
GA891,Geography and Outdoor Education,261,244,,Points decrease,17,,,17,261,244,TRUE,FALSE,FALSE
GA892,Community Development and Youth Work (Level 8),,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
GA980,Education (Design Graphics and Construction),410,377,376,Points decrease,33,34,1,33,34,1,TRUE,TRUE,TRUE
GA981,Furniture Design and Manufacture,346,,271,Points decrease,,75,,346,75,-271,FALSE,TRUE,FALSE
GA982,Furniture Making and Architectural Woodworking,360,,270,Points decrease,,90,,360,90,-270,FALSE,TRUE,FALSE
GA983,Furniture and Digital Manufacturing,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
GA984,Furniture Design  Making and Technology - Common E,486,284,,Points decrease,202,,,202,486,284,TRUE,FALSE,FALSE
GY101,Arts (Joint-Honours),327,300,300,Points decrease,27,27,0,27,27,0,TRUE,TRUE,TRUE
GY104,BSc (Psychology),564,523,507,Points decrease,41,57,16,41,57,16,TRUE,TRUE,TRUE
GY105,Arts (History),357,301,318,Points decrease,56,39,-17,56,39,-17,TRUE,TRUE,TRUE
GY109,Arts (Mathematics and Education),413,403,411,Points decrease,10,2,-8,10,2,-8,TRUE,TRUE,TRUE
GY110,Arts (Children and Youth Studies - options),387,357,382,Points decrease,30,5,-25,30,5,-25,TRUE,TRUE,TRUE
GY111,Arts (English and Creative Writing),421,330,402,Points decrease,91,19,-72,91,19,-72,TRUE,TRUE,TRUE
GY113,Arts with Human Rights,413,368,338,Points decrease,45,75,30,45,75,30,TRUE,TRUE,TRUE
GY115,Arts with Performing Arts Studies,300,387,328,Points decrease,-87,-28,59,-87,-28,59,TRUE,TRUE,TRUE
GY118,Arts (Drama  Theatre and Performance Studies),453,451,410,Points decrease,2,43,41,2,43,41,TRUE,TRUE,TRUE
GY119,Arts (Journalism),484,400,410,Points decrease,84,74,-10,84,74,-10,TRUE,TRUE,TRUE
GY122,Na Dána (Cumarsáid agus Gaeilge),410,361,308,Points decrease,49,102,53,49,102,53,TRUE,TRUE,TRUE
GY123,Applied Social Sciences,419,358,357,Points decrease,61,62,1,61,62,1,TRUE,TRUE,TRUE
GY125,Arts (Digital Arts and Technology),403,328,324,Points decrease,75,79,4,75,79,4,TRUE,TRUE,TRUE
GY127,Arts (Film and Digital Media),430,401,387,Points decrease,29,43,14,29,43,14,TRUE,TRUE,TRUE
GY128,Arts (Global Languages),346,352,370,Points decrease,-6,-24,-18,-6,-24,-18,TRUE,TRUE,TRUE
GY129,Arts (Global Experience),465,420,408,Points decrease,45,57,12,45,57,12,TRUE,TRUE,TRUE
GY130,Arts (Music),462,408,400,Points decrease,54,62,8,54,62,8,TRUE,TRUE,TRUE
GY132,Government (Politics  Economics and Law),465,407,402,Points decrease,58,63,5,58,63,5,TRUE,TRUE,TRUE
GY133,Education (Computer Science and Mathematical Studi,454,422,401,Points decrease,32,53,21,32,53,21,TRUE,TRUE,TRUE
GY134,Geography and Geosystems,425,410,,Points decrease,15,,,15,425,410,TRUE,FALSE,FALSE
GY135,Arts (Global Media),442,,,Points decrease,,,,442,442,0,FALSE,FALSE,TRUE
GY136,Na Dána (Léann Teanga - options),526,,,Points decrease,,,,526,526,0,FALSE,FALSE,TRUE
GY201,Commerce,476,433,420,Points decrease,43,56,13,43,56,13,TRUE,TRUE,TRUE
GY202,Commerce (International) with French,520,484,484,Points decrease,36,36,0,36,36,0,TRUE,TRUE,TRUE
GY203,Commerce (International) with German,518,489,489,Points decrease,29,29,0,29,29,0,TRUE,TRUE,TRUE
GY204,Commerce (International) with Spanish,506,495,484,Points decrease,11,22,11,11,22,11,TRUE,TRUE,TRUE
GY206,Business Information Systems (Work Placement and O,509,465,431,Points decrease,44,78,34,44,78,34,TRUE,TRUE,TRUE
GY207,Commerce (Accounting) including optional Global Ex,543,509,486,Points decrease,34,57,23,34,57,23,TRUE,TRUE,TRUE
GY208,Commerce (Gaeilge),508,473,473,Points decrease,35,35,0,35,35,0,TRUE,TRUE,TRUE
GY209,Commerce (Global Experience),551,530,509,Points decrease,21,42,21,21,42,21,TRUE,TRUE,TRUE
GY250,Law and Business,510,487,436,Points decrease,23,74,51,23,74,51,TRUE,TRUE,TRUE
GY251,Law (BCL),542,499,473,Points decrease,43,69,26,43,69,26,TRUE,TRUE,TRUE
GY252,Law (BCL) and Human Rights,565,520,510,Points decrease,45,55,10,45,55,10,TRUE,TRUE,TRUE
GY253,Law and Taxation,506,509,,Points decrease,-3,,,-3,506,509,TRUE,FALSE,FALSE
GY254,Law (BCL)  Criminology and Criminal Justice,548,530,,Points decrease,18,,,18,548,530,TRUE,FALSE,FALSE
GY261,Business Studies in International Hotel Management,503,497,486,Points decrease,6,17,11,6,17,11,TRUE,TRUE,TRUE
GY262,Commerce in International Hotel Management (interv,709,681,671,Points decrease,28,38,10,28,38,10,TRUE,TRUE,TRUE
GY301,Science,489,433,400,Points decrease,56,89,33,56,89,33,TRUE,TRUE,TRUE
GY303,Biomedical Science,613,556,533,Points decrease,57,80,23,57,80,23,TRUE,TRUE,TRUE
GY304,Biotechnology,498,465,473,Points decrease,33,25,-8,33,25,-8,TRUE,TRUE,TRUE
GY308,Environmental Science,431,408,413,Points decrease,23,18,-5,23,18,-5,TRUE,TRUE,TRUE
GY309,Financial Mathematics and Economics,509,487,454,Points decrease,22,55,33,22,55,33,TRUE,TRUE,TRUE
GY310,Marine Science,467,419,409,Points decrease,48,58,10,48,58,10,TRUE,TRUE,TRUE
GY313,Environmental Health and Safety,412,412,402,Points decrease,0,10,10,0,10,10,TRUE,TRUE,TRUE
GY314,Earth and Ocean Sciences,422,403,402,Points decrease,19,20,1,19,20,1,TRUE,TRUE,TRUE
GY318,Biopharmaceutical Chemistry,555,509,510,Points decrease,46,45,-1,46,45,-1,TRUE,TRUE,TRUE
GY319,Mathematical Science,543,476,456,Points decrease,67,87,20,67,87,20,TRUE,TRUE,TRUE
GY320,Physics (Degree options: Applied Astrophysics Biom,465,402,401,Points decrease,63,64,1,63,64,1,TRUE,TRUE,TRUE
GY321,Genetics and Genomics,532,508,,Points decrease,24,,,24,532,508,TRUE,FALSE,FALSE
GY322,Agricultural Sciences,485,,,Points decrease,,,,485,485,0,FALSE,FALSE,TRUE
GY350,Computer Science and Information Technology,495,403,425,Points decrease,92,70,-22,92,70,-22,TRUE,TRUE,TRUE
GY401,Engineering (Undenominated),522,465,444,Points decrease,57,78,21,57,78,21,TRUE,TRUE,TRUE
GY402,Civil Engineering,533,455,509,Points decrease,78,24,-54,78,24,-54,TRUE,TRUE,TRUE
GY405,Mechanical Engineering,541,454,443,Points decrease,87,98,11,87,98,11,TRUE,TRUE,TRUE
GY406,Electronic and Computer Engineering,555,510,509,Points decrease,45,46,1,45,46,1,TRUE,TRUE,TRUE
GY408,Biomedical Engineering,554,509,519,Points decrease,45,35,-10,45,35,-10,TRUE,TRUE,TRUE
GY410,Project and Construction Management,431,403,434,Points decrease,28,-3,-31,28,-3,-31,TRUE,TRUE,TRUE
GY413,Energy Systems Engineering,509,502,532,Points decrease,7,-23,-30,7,-23,-30,TRUE,TRUE,TRUE
GY414,Electrical and Electronic Engineering,433,405,454,Points decrease,28,-21,-49,28,-21,-49,TRUE,TRUE,TRUE
GY501,Medicine (five year/six year course  HPAT required,737,728,726,Points decrease,9,11,2,9,11,2,TRUE,TRUE,TRUE
GY502,Occupational Therapy,601,555,532,Points decrease,46,69,23,46,69,23,TRUE,TRUE,TRUE
GY503,Speech and Language Therapy,578,543,529,Points decrease,35,49,14,35,49,14,TRUE,TRUE,TRUE
GY504,Podiatric Medicine,531,443,434,Points decrease,88,97,9,88,97,9,TRUE,TRUE,TRUE
GY515,General Nursing (Galway and Portiuncula),502,476,442,Points decrease,26,60,34,26,60,34,TRUE,TRUE,TRUE
GY516,Mental Health Nursing,475,440,388,Points decrease,35,87,52,35,87,52,TRUE,TRUE,TRUE
GY517,Midwifery,520,495,429,Points decrease,25,91,66,25,91,66,TRUE,TRUE,TRUE
LY108,Business - Accounting,312,309,318,Points decrease,3,-6,-9,3,-6,-9,TRUE,TRUE,TRUE
LY118,Business,288,290,287,Points decrease,-2,1,3,-2,1,3,TRUE,TRUE,TRUE
LY128,Marketing with Online Technologies,261,,,Points decrease,,,,261,261,0,FALSE,FALSE,TRUE
LY208,Law,300,300,300,Points decrease,0,0,0,0,0,0,TRUE,TRUE,TRUE
LY228,Sports and Exercise - Common Entry,290,300,278,Points decrease,-10,12,22,-10,12,22,TRUE,TRUE,TRUE
LY408,Design - Common Entry,301,320,307,Points decrease,-19,-6,13,-19,-6,13,TRUE,TRUE,TRUE
LY508,Fire Safety Engineering,283,276,270,Points decrease,7,13,6,7,13,6,TRUE,TRUE,TRUE
LY518,Quantity Surveying,304,301,307,Points decrease,3,-3,-6,3,-3,-6,TRUE,TRUE,TRUE
LY528,Construction Management,262,271,267,Points decrease,-9,-5,4,-9,-5,4,TRUE,TRUE,TRUE
LY538,Architectural Technology,234,,,Points decrease,,,,234,234,0,FALSE,FALSE,TRUE
LY608,Mechanical Engineering,300,300,304,Points decrease,0,-4,-4,0,-4,-4,TRUE,TRUE,TRUE
LY618,Electronic Engineering,321,312,307,Points decrease,9,14,5,9,14,5,TRUE,TRUE,TRUE
LY708,Applied Computing,320,306,300,Points decrease,14,20,6,14,20,6,TRUE,TRUE,TRUE
LY748,Computer Science,316,317,,Points decrease,-1,,,-1,316,317,TRUE,FALSE,FALSE
LY818,Science - Common Entry,302,303,302,Points decrease,-1,0,1,-1,0,1,TRUE,TRUE,TRUE
LY828,Agriculture - Common Entry,308,307,300,Points decrease,1,8,7,1,8,7,TRUE,TRUE,TRUE
LY908,General Nursing,429,400,383,Points decrease,29,46,17,29,46,17,TRUE,TRUE,TRUE
LY918,Psychiatric Nursing,367,357,291,Points decrease,10,76,66,10,76,66,TRUE,TRUE,TRUE
LY928,Intellectual Disability Nursing,357,326,288,Points decrease,31,69,38,31,69,38,TRUE,TRUE,TRUE
LY968,Early Childhood Care  Health and Education,288,303,300,Points decrease,-15,-12,3,-15,-12,3,TRUE,TRUE,TRUE
LY978,Health and Social Care - Common Entry,279,280,260,Points decrease,-1,19,20,-1,19,20,TRUE,TRUE,TRUE
MI001,Contemporary and Applied Theatre Studies,209,375,345,Points decrease,-166,-136,30,-166,-136,30,TRUE,TRUE,TRUE
MI002,Arts,280,300,300,Points decrease,-20,-20,0,-20,-20,0,TRUE,TRUE,TRUE
MI004,Education - Primary Teaching - International,589,577,,Points decrease,12,,,12,589,577,TRUE,FALSE,FALSE
MI005,Education - Primary Teaching,522,495,473,Points decrease,27,49,22,27,49,22,TRUE,TRUE,TRUE
MI006,Education - Primary Teaching - Gaeltacht Applicant,485,456,442,Points decrease,29,43,14,29,43,14,TRUE,TRUE,TRUE
MI007,Early Childhood Care and Education,409,357,366,Points decrease,52,43,-9,52,43,-9,TRUE,TRUE,TRUE
MI008,Education and Psychology - Primary Teaching,590,588,543,Points decrease,2,47,45,2,47,45,TRUE,TRUE,TRUE
MI009,Education  Business Studies and Accounting,434,402,392,Points decrease,32,42,10,32,42,10,TRUE,TRUE,TRUE
MI010,Education  Business Studies and Religious Studies,370,368,326,Points decrease,2,44,42,2,44,42,TRUE,TRUE,TRUE
MI011,Education  Gaeilge and Religious Studies,407,409,377,Points decrease,-2,30,32,-2,30,32,TRUE,TRUE,TRUE
MI012,Education  Gaeilge and Business Studies,387,401,398,Points decrease,-14,-11,3,-14,-11,3,TRUE,TRUE,TRUE
MI013,Education  Mathematics and Gaeilge,509,444,433,Points decrease,65,76,11,65,76,11,TRUE,TRUE,TRUE
MI014,Education  Mathematics and Business Studies,476,434,,Points decrease,42,,,42,476,434,TRUE,FALSE,FALSE
CI110,Counselling and Psychotherapy,292,310,,Points decrease,-18,,,-18,292,310,TRUE,FALSE,FALSE
CI111,Counselling and Psychotherapy with Addiction Studi,290,301,,Points decrease,-11,,,-11,290,301,TRUE,FALSE,FALSE
CI112,Counselling and Psychotherapy with Youth Studies,325,311,,Points decrease,14,,,14,325,311,TRUE,FALSE,FALSE
LC110,Art and Design (Common Entry  portfolio),794,740,734,Points decrease,54,60,6,54,60,6,TRUE,TRUE,TRUE
LC114,Fashion and Textiles for Product and Costume (port,914,880,900,Points decrease,34,14,-20,34,14,-20,TRUE,TRUE,TRUE
LC115,Art and Design Teacher Education (LIT and UL  port,993,942,,Points decrease,51,,,51,993,942,TRUE,FALSE,FALSE
LC220,Digital Marketing,263,262,254,Points decrease,1,9,8,1,9,8,TRUE,TRUE,TRUE
LC223,Law and Taxation,331,307,308,Points decrease,24,23,-1,24,23,-1,TRUE,TRUE,TRUE
LC224,Accounting and Finance,300,300,299,Points decrease,0,1,1,0,1,1,TRUE,TRUE,TRUE
LC225,Marketing and Management,298,298,298,Points decrease,0,0,0,0,0,0,TRUE,TRUE,TRUE
LC226,Enterprise and Innovation,255,234,216,Points decrease,21,39,18,21,39,18,TRUE,TRUE,TRUE
LC233,Software Development,280,272,300,Points decrease,8,-20,-28,8,-20,-28,TRUE,TRUE,TRUE
LC234,Immersive Digital Media and Spatial Computing,226,225,219,Points decrease,1,7,6,1,7,6,TRUE,TRUE,TRUE
LC236,Internet Systems Development,260,262,298,Points decrease,-2,-38,-36,-2,-38,-36,TRUE,TRUE,TRUE
LC239,Computer Networks and Systems Management,317,307,335,Points decrease,10,-18,-28,10,-18,-28,TRUE,TRUE,TRUE
LC241,Construction Management,326,255,276,Points decrease,71,50,-21,71,50,-21,TRUE,TRUE,TRUE
LC242,Property Valuation and Management,308,282,292,Points decrease,26,16,-10,26,16,-10,TRUE,TRUE,TRUE
LC243,Quantity Surveying,278,294,281,Points decrease,-16,-3,13,-16,-3,13,TRUE,TRUE,TRUE
LC248,Built Environment (Common Entry),300,288,307,Points decrease,12,-7,-19,12,-7,-19,TRUE,TRUE,TRUE
LC252,Civil Engineering Management,264,270,281,Points decrease,-6,-17,-11,-6,-17,-11,TRUE,TRUE,TRUE
LC263,Medical Technology,391,294,282,Points decrease,97,109,12,97,109,12,TRUE,TRUE,TRUE
LC265,Forensic and Pharmaceutical Sciences,498,413,335,Points decrease,85,163,78,85,163,78,TRUE,TRUE,TRUE
LC266,Drug and Medicinal Product Analysis,252,262,236,Points decrease,-10,16,26,-10,16,26,TRUE,TRUE,TRUE
LC275,Electrical Engineering,361,298,288,Points decrease,63,73,10,63,73,10,TRUE,TRUE,TRUE
LC288,Mechanical Engineering,378,347,307,Points decrease,31,71,40,31,71,40,TRUE,TRUE,TRUE
LC289,Precision Engineering,261,291,280,Points decrease,-30,-19,11,-30,-19,11,TRUE,TRUE,TRUE
LC292,Social Care Work,374,367,360,Points decrease,7,14,7,7,14,7,TRUE,TRUE,TRUE
LC293,Business Studies with Travel and Tourism Managemen,271,307,299,Points decrease,-36,-28,8,-36,-28,8,TRUE,TRUE,TRUE
LC294,Business Studies with Event Management,279,279,271,Points decrease,0,8,8,0,8,8,TRUE,TRUE,TRUE
LC295,Business Studies with Sports Management,262,252,263,Points decrease,10,-1,-11,10,-1,-11,TRUE,TRUE,TRUE
LC297,Community and Addiction Studies,272,235,217,Points decrease,37,55,18,37,55,18,TRUE,TRUE,TRUE
LC320,Business,381,346,337,Points decrease,35,44,9,35,44,9,TRUE,TRUE,TRUE
LC330,Business with Computing,328,297,298,Points decrease,31,30,-1,31,30,-1,TRUE,TRUE,TRUE
LC340,Interior Design,391,350,298,Points decrease,41,93,52,41,93,52,TRUE,TRUE,TRUE
LC362,Biotechnology and Biopharmaceutical Sciences,429,413,379,Points decrease,16,50,34,16,50,34,TRUE,TRUE,TRUE
LC371,Creative Broadcast and Film Production,325,309,298,Points decrease,16,27,11,16,27,11,TRUE,TRUE,TRUE
LC372,Music Technology and Production,377,325,321,Points decrease,52,56,4,52,56,4,TRUE,TRUE,TRUE
LC374,Renewable and Electrical Energy Engineering,337,318,317,Points decrease,19,20,1,19,20,1,TRUE,TRUE,TRUE
LC375,Industrial Automation and Robotic Systems,309,317,321,Points decrease,-8,-12,-4,-8,-12,-4,TRUE,TRUE,TRUE
LC376,Electronic Engineering with Computer Systems,357,318,308,Points decrease,39,49,10,39,49,10,TRUE,TRUE,TRUE
LC380,Automotive Engineering and Transport Management,298,303,282,Points decrease,-5,16,21,-5,16,21,TRUE,TRUE,TRUE
LC392,Business Studies in Beauty and Spa Management,328,236,217,Points decrease,92,111,19,92,111,19,TRUE,TRUE,TRUE
LC393,Early Childhood Education and Care,309,236,260,Points decrease,73,49,-24,73,49,-24,TRUE,TRUE,TRUE
LC402,Social Care Work,228,225,209,Points decrease,3,19,16,3,19,16,TRUE,TRUE,TRUE
LC408,Environmental Science and Climate,279,279,262,Points decrease,0,17,17,0,17,17,TRUE,TRUE,TRUE
LC416,Business,260,274,,Points decrease,-14,,,-14,260,274,TRUE,FALSE,FALSE
LC418,Computing - Games Design and Development,260,270,271,Points decrease,-10,-11,-1,-10,-11,-1,TRUE,TRUE,TRUE
LC422,Applied Strength and Conditioning,289,298,288,Points decrease,-9,1,10,-9,1,10,TRUE,TRUE,TRUE
LC502,Game Art and Design (portfolio),841,852,838,Points decrease,-11,3,14,-11,3,14,TRUE,TRUE,TRUE
LC517,Creative Media and Design,279,234,229,Points decrease,45,50,5,45,50,5,TRUE,TRUE,TRUE
LC518,Digital Animation Production (portfolio),807,808,816,Points decrease,-1,-9,-8,-1,-9,-8,TRUE,TRUE,TRUE
LC612,Social Care Work,309,320,319,Points decrease,-11,-10,1,-11,-10,1,TRUE,TRUE,TRUE
LM002,Arts,360,348,329,Points decrease,12,31,19,12,31,19,TRUE,TRUE,TRUE
LM019,Social Sciences,451,,,Points decrease,,,,451,451,0,FALSE,FALSE,TRUE
LM020,Law and Accounting,474,465,436,Points decrease,9,38,29,9,38,29,TRUE,TRUE,TRUE
LM026,Performing Arts (audition format TBC),329,303,307,Points decrease,26,22,-4,26,22,-4,TRUE,TRUE,TRUE
