code,title,points_r1_2021,points_r1_2020,points_r1_2019,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
DC217,Intellectual Disability Nursing,382.0,370.0,347.0,12.0,35.0,23.0,Increase,Increase,Increase
DC218,Children`s and General Nursing (Integrated),521.0,500.0,467.0,21.0,54.0,33.0,Increase,Increase,Increase
DC230,Economics  Politics and Law,431.0,435.0,400.0,-4.0,31.0,35.0,Decrease,Increase,Increase
DC231,International Relations,398.0,397.0,387.0,1.0,11.0,10.0,Increase,Increase,Increase
DC232,Law and Society (BCL),469.0,466.0,453.0,3.0,16.0,13.0,Increase,Increase,Increase
DC235,Education and Training - Daytime and Flexible Deli,302.0,309.0,307.0,-7.0,-5.0,2.0,Decrease,Increase,Decrease
DC238,Social Sciences and Cultural Innovation,387.0,377.0,358.0,10.0,29.0,19.0,Increase,Increase,Increase
DC240,Marketing  Innovation and Technology,499.0,476.0,451.0,23.0,48.0,25.0,Increase,Increase,Increase
DC241,Digital Business and Innovation,509.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC291,Arts (Joint Honours) - Media Studies,350.0,376.0,349.0,-26.0,1.0,27.0,Decrease,Increase,Increase
DC292,Arts (Joint Honours) - Law,400.0,403.0,356.0,-3.0,44.0,47.0,Decrease,Increase,Increase
DC293,Arts (Joint Honours) - International Languages,379.0,377.0,369.0,2.0,10.0,8.0,Increase,Increase,Increase
DC294,Climate and Environmental Sustainability,475.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC295,Arts (Joint Honours) - Politics,349.0,376.0,348.0,-27.0,1.0,28.0,Decrease,Increase,Increase
DL822,Arts Management,254.0,229.0,209.0,25.0,45.0,20.0,Increase,Increase,Increase
DL823,Business Management,220.0,235.0,260.0,-15.0,-40.0,-25.0,Decrease,Decrease,Decrease
DL825,Applied Psychology,418.0,379.0,349.0,39.0,69.0,30.0,Increase,Increase,Increase
DL826,Graphic Design,591.0,855.0,736.0,-264.0,-145.0,119.0,Decrease,Increase,Decrease
DL827,Art,574.0,572.0,583.0,2.0,-9.0,-11.0,Increase,Decrease,Decrease
DL832,Animation,989.0,920.0,855.0,69.0,134.0,65.0,Increase,Increase,Increase
DL833,Photography and Visual Media,671.0,650.0,636.0,21.0,35.0,14.0,Increase,Increase,Increase
DL836,Creative Computing,235.0,219.0,217.0,16.0,18.0,2.0,Increase,Increase,Increase
DL837,New Media Studies,298.0,201.0,290.0,97.0,8.0,-89.0,Increase,Decrease,Increase
DL838,Creative Music Production,713.0,754.0,746.0,-41.0,-33.0,8.0,Decrease,Increase,Decrease
DL839,Interaction and User Experience Design,757.0,683.0,,74.0,,,Increase,Course for 1 year only,Course for 1 year only
DL840,Digital Marketing,210.0,228.0,,-18.0,,,Decrease,Course for 1 year only,Course for 1 year only
DL841,English and Equality Studies,277.0,276.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
DL843,Film,987.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DL844,Television,566.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DL845,Design for Film (degree options),628.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC200,Business,269.0,252.0,269.0,17.0,0.0,-17.0,Increase,Decrease,No change
GC201,Accounting and Finance,260.0,303.0,251.0,-43.0,9.0,52.0,Decrease,Increase,Increase
GC230,Computing Science,300.0,335.0,228.0,-35.0,72.0,107.0,Decrease,Increase,Increase
GC300,Business,264.0,429.0,251.0,-165.0,13.0,178.0,Decrease,Increase,Increase
GC301,Accounting and Finance,,253.0,307.0,,,-54.0,Course for 1 year only,Decrease,Course for 1 year only
GC302,Business - HRM,377.0,,269.0,,108.0,,Course for 1 year only,Course for 1 year only,Increase
GC307,Business (Marketing),289.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC400,Business,250.0,248.0,246.0,2.0,4.0,2.0,Increase,Increase,Increase
GC401,Accounting and Finance,242.0,240.0,181.0,2.0,61.0,59.0,Increase,Increase,Increase
GC402,Business (HRM),,264.0,217.0,,,47.0,Course for 1 year only,Increase,Course for 1 year only
GC403,Law,245.0,244.0,225.0,1.0,20.0,19.0,Increase,Increase,Increase
GC407,Business (Marketing),264.0,280.0,246.0,-16.0,18.0,34.0,Decrease,Increase,Increase
GC430,Computing Science,251.0,252.0,217.0,-1.0,34.0,35.0,Decrease,Increase,Increase
GC450,Communications and Media Production,225.0,254.0,227.0,-29.0,-2.0,27.0,Decrease,Increase,Decrease
GC462,Design Communication (portfolio),300.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC489,Interior Architecture (portfolio),288.0,254.0,267.0,34.0,21.0,-13.0,Increase,Decrease,Increase
GC494,Fashion Design (portfolio),351.0,337.0,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
BY001,Business,210.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
ID001,Accounting and Finance,,203.0,229.0,,,-26.0,Course for 1 year only,Decrease,Course for 1 year only
ID002,Business Studies,,294.0,285.0,,,9.0,Course for 1 year only,Increase,Course for 1 year only
AD101,First Year Art and Design (Common Entry portfolio),554.0,,0.0,,554.0,,Course for 1 year only,Course for 1 year only,Increase
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,0.0,,538.0,,Course for 1 year only,Course for 1 year only,Increase
AD103,Textile and Surface Design and Jewellery and Objec,505.0,,0.0,,505.0,,Course for 1 year only,Course for 1 year only,Increase
AD202,Education and Design or Fine Art (Second Level Tea,591.0,,0.0,,591.0,,Course for 1 year only,Course for 1 year only,Increase
AD204,Fine Art (portfolio),514.0,,0.0,,514.0,,Course for 1 year only,Course for 1 year only,Increase
AD211,Fashion Design (portfolio),760.0,,0.0,,760.0,,Course for 1 year only,Course for 1 year only,Increase
AD212,Product Design (portfolio),413.0,,0.0,,413.0,,Course for 1 year only,Course for 1 year only,Increase
AD215,Visual Culture,337.0,377.0,300.0,-40.0,37.0,77.0,Decrease,Increase,Increase
AD217,Illustration (portfolio),738.0,,0.0,,738.0,,Course for 1 year only,Course for 1 year only,Increase
AD222,Interaction Design (portfolio),444.0,,0.0,,444.0,,Course for 1 year only,Course for 1 year only,Increase
NC003,Computing (Degree Award options),271.0,260.0,261.0,11.0,10.0,-1.0,Increase,Decrease,Increase
NC005,Human Resource Management,301.0,300.0,297.0,1.0,4.0,3.0,Increase,Increase,Increase
NC009,Business,300.0,300.0,297.0,0.0,3.0,3.0,No change,Increase,Increase
NC010,Psychology,420.0,400.0,366.0,20.0,54.0,34.0,Increase,Increase,Increase
NC020,Marketing Practice,270.0,280.0,270.0,-10.0,0.0,10.0,Decrease,Increase,No change
NC022,Accounting and Finance,330.0,337.0,338.0,-7.0,-8.0,-1.0,Decrease,Decrease,Decrease
NC023,Technology Management (with specialisations),266.0,261.0,260.0,5.0,6.0,1.0,Increase,Increase,Increase
NC030,Early Childhood Education and Care,251.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,733.0,729.0,8.0,12.0,4.0,Increase,Increase,Increase
RC004,Physiotherapy,589.0,566.0,532.0,23.0,57.0,34.0,Increase,Increase,Increase
RC005,Pharmacy,613.0,579.0,555.0,34.0,58.0,24.0,Increase,Increase,Increase
RC101,Medicine - Graduate Entry (GAMSAT required),,,60.0,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
NM801,Montessori Education,262.0,220.0,,42.0,,,Increase,Course for 1 year only,Course for 1 year only
NM802,Psychology,228.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU801,Sustainable Energy Engineering,235.0,235.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU802,Electrical Services and Energy Management,309.0,317.0,,-8.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU804,Engineering (Common Entry with Award options),270.0,271.0,,-1.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU805,Engineering (General Entry),466.0,402.0,,64.0,,,Increase,Course for 1 year only,Course for 1 year only
TU807,Computer Engineering in Mobile Systems,274.0,276.0,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU810,Mechatronic Engineering,271.0,270.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU811,Product Design,440.0,411.0,,29.0,,,Increase,Course for 1 year only,Course for 1 year only
TU812,Design Technology and Innovation,278.0,270.0,,8.0,,,Increase,Course for 1 year only,Course for 1 year only
TU814,Sustainable Transport Management,253.0,285.0,,-32.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU828,Mechanical Engineering (General Entry),300.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU829,Electronic Engineering (General Entry),248.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU831,Architectural Technology,423.0,410.0,,13.0,,,Increase,Course for 1 year only,Course for 1 year only
TU832,Architecture (Suitability Test and Interview),644.0,622.0,,22.0,,,Increase,Course for 1 year only,Course for 1 year only
TU833,Construction Management,396.0,367.0,,29.0,,,Increase,Course for 1 year only,Course for 1 year only
TU834,Geographic Science,315.0,288.0,,27.0,,,Increase,Course for 1 year only,Course for 1 year only
TU835,Planning and Environmental Management,330.0,313.0,,17.0,,,Increase,Course for 1 year only,Course for 1 year only
TU836,Property Economics (Valuation Surveying),411.0,401.0,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TU837,Quantity Surveying and Construction Economics,413.0,385.0,,28.0,,,Increase,Course for 1 year only,Course for 1 year only
TU838,Sustainable Timber Technology,307.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU851,Analytical Chemistry (Environmental  Forensic and,400.0,349.0,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU852,Chemical Sciences with Medicinal Chemistry,477.0,476.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU854,Science (General Entry),510.0,476.0,,34.0,,,Increase,Course for 1 year only,Course for 1 year only
TU855,Science with Nanotechnology,322.0,331.0,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU856,Computer Science,499.0,476.0,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU857,Computer Science (Infrastructure),403.0,391.0,,12.0,,,Increase,Course for 1 year only,Course for 1 year only
TU858,Computer Science (International),395.0,377.0,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU859,Computing,251.0,217.0,,34.0,,,Increase,Course for 1 year only,Course for 1 year only
TU860,Computing (Information Technology),270.0,260.0,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TU861,Computing with Language (French/German/Spanish),235.0,308.0,,-73.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU862,Computing with Artificial Intelligence Machine Lea,262.0,226.0,,36.0,,,Increase,Course for 1 year only,Course for 1 year only
TU863,Digital Forensics and Cyber Security,282.0,280.0,,2.0,,,Increase,Course for 1 year only,Course for 1 year only
TU864,DNA and Forensic Analysis,500.0,400.0,,100.0,,,Increase,Course for 1 year only,Course for 1 year only
TU865,Cloud Computing,235.0,226.0,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
TU866,Biomedical and Molecular Diagnostics,522.0,487.0,,35.0,,,Increase,Course for 1 year only,Course for 1 year only
TU867,Biomedical Science,576.0,524.0,,52.0,,,Increase,Course for 1 year only,Course for 1 year only
TU868,Clinical Measurement Science,542.0,510.0,,32.0,,,Increase,Course for 1 year only,Course for 1 year only
TU869,Environmental Health,387.0,336.0,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU870,Human Nutrition and Dietetics,601.0,578.0,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU871,Optometry,532.0,509.0,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU872,Public Health Nutrition,487.0,491.0,,-4.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU874,Mathematical Sciences,294.0,341.0,,-47.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU875,Pharmaceutical Healthcare,451.0,400.0,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU876,Pharmaceutical Science,445.0,377.0,,68.0,,,Increase,Course for 1 year only,Course for 1 year only
TU877,Physics Technology,314.0,308.0,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU878,Physics with Energy and Environment,339.0,337.0,,2.0,,,Increase,Course for 1 year only,Course for 1 year only
TU879,Physics with Medical Physics and Bioengineering,346.0,351.0,,-5.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU880,Physics with Data Science,412.0,578.0,,-166.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU881,Food Innovation,309.0,318.0,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU882,Nutraceuticals in Health and Nutrition,380.0,397.0,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU902,Business (options),270.0,271.0,,-1.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU903,Business and Management,477.0,463.0,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
TU904,Business and Law,462.0,462.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU905,Economics and Finance,460.0,465.0,,-5.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU906,Human Resource Management,386.0,395.0,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU907,Logistics and Supply Chain Management,300.0,300.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU910,Accounting,420.0,444.0,,-24.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU912,Business Analytics,331.0,330.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU914,Business Computing,322.0,324.0,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU917,Law (LLB ) with a Language,356.0,342.0,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
TU918,Law (LLB),463.0,451.0,,12.0,,,Increase,Course for 1 year only,Course for 1 year only
TU919,Advertising and Marketing Communications,219.0,228.0,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU920,Digital Marketing,270.0,270.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU921,Digital Marketing Technologies,230.0,212.0,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU922,Marketing,412.0,418.0,,-6.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU924,E-Commerce in Retailing,307.0,307.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU925,Retail and Services Management,307.0,301.0,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU932,Business (options),211.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU933,Accounting and Finance (campus options),251.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU935,Sports Management and Coaching,300.0,300.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU936,Sports Science and Health,484.0,410.0,,74.0,,,Increase,Course for 1 year only,Course for 1 year only
TU941,Botanical Cuisine,311.0,249.0,,62.0,,,Increase,Course for 1 year only,Course for 1 year only
TU942,Culinary Arts,252.0,212.0,,40.0,,,Increase,Course for 1 year only,Course for 1 year only
TU943,Culinary Entrepreneurship,261.0,278.0,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU944,Culinary Science,336.0,316.0,,20.0,,,Increase,Course for 1 year only,Course for 1 year only
TU951,International Hospitality and Tourism Management,244.0,184.0,,60.0,,,Increase,Course for 1 year only,Course for 1 year only
TU952,International Hospitality Management,309.0,300.0,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
TU953,Tourism and Digital Marketing,308.0,290.0,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU954,Event Management,326.0,356.0,,-30.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU955,Sports and Leisure Management,275.0,217.0,,58.0,,,Increase,Course for 1 year only,Course for 1 year only
TU961,Commercial Modern Music (BIMM - assessment/auditio,536.0,608.0,,-72.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU962,Drama (Performance  audition),448.0,379.0,,69.0,,,Increase,Course for 1 year only,Course for 1 year only
TU963,Music (audition),364.0,416.0,,-52.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU965,International Business and Languages,357.0,356.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU967,Languages and International Tourism,298.0,308.0,,-10.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU973,Design - Visual Communication (portfolio),700.0,717.0,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU974,Fine Art (portfolio),549.0,709.0,,-160.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU975,Interior Design (portfolio),544.0,632.0,,-88.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU976,Photography (portfolio),700.0,695.0,,5.0,,,Increase,Course for 1 year only,Course for 1 year only
TU978,Creative Industries and Visual Culture,299.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU981,Creative Digital Media,280.0,280.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU982,Media Production and Digital Arts,369.0,320.0,,49.0,,,Increase,Course for 1 year only,Course for 1 year only
TU983,Film and Broadcasting,462.0,456.0,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU984,Game Design,414.0,381.0,,33.0,,,Increase,Course for 1 year only,Course for 1 year only
TU985,Journalism,367.0,322.0,,45.0,,,Increase,Course for 1 year only,Course for 1 year only
TU989,Early Childhood Care and Education (campus options,270.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU991,Applied Social Studies in Social Care,326.0,325.0,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU992,Community Development and Youth Work,251.0,251.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU995,Early Childhood Education,378.0,367.0,,11.0,,,Increase,Course for 1 year only,Course for 1 year only
TU996,Social Care,407.0,400.0,,7.0,,,Increase,Course for 1 year only,Course for 1 year only
TU997,Applied Social Care,320.0,310.0,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TR002,Music,508.0,435.0,414.0,73.0,94.0,21.0,Increase,Increase,Increase
TR003,History,552.0,497.0,486.0,55.0,66.0,11.0,Increase,Increase,Increase
TR004,Law,590.0,566.0,532.0,24.0,58.0,34.0,Increase,Increase,Increase
TR005,Philosophy,510.0,442.0,391.0,68.0,119.0,51.0,Increase,Increase,Increase
TR006,Psychology,601.0,567.0,555.0,34.0,46.0,12.0,Increase,Increase,Increase
TR007,Clinical Speech and Language Studies,564.0,529.0,499.0,35.0,65.0,30.0,Increase,Increase,Increase
TR009,Music Education,496.0,420.0,430.0,76.0,66.0,-10.0,Increase,Decrease,Increase
TR015,Philosophy  Political Science  Economics and Socio,613.0,589.0,566.0,24.0,47.0,23.0,Increase,Increase,Increase
TR016,Deaf Studies,389.0,340.0,337.0,49.0,52.0,3.0,Increase,Increase,Increase
TR018,Law and French,602.0,565.0,532.0,37.0,70.0,33.0,Increase,Increase,Increase
TR019,Law and German,577.0,543.0,523.0,34.0,54.0,20.0,Increase,Increase,Increase
TR021,Classics  Ancient History and Archaeology,467.0,370.0,377.0,97.0,90.0,-7.0,Increase,Decrease,Increase
TR022,Early and Modern Irish,377.0,398.0,347.0,-21.0,30.0,51.0,Decrease,Increase,Increase
TR023,English Studies,546.0,487.0,463.0,59.0,83.0,24.0,Increase,Increase,Increase
TR024,European Studies,566.0,544.0,520.0,22.0,46.0,24.0,Increase,Increase,Increase
TR025,Drama and Theatre Studies,543.0,564.0,489.0,-21.0,54.0,75.0,Decrease,Increase,Increase
TR028,Ancient and Medieval History and Culture,498.0,342.0,339.0,156.0,159.0,3.0,Increase,Increase,Increase
TR031,Mathematics,579.0,531.0,566.0,48.0,13.0,-35.0,Increase,Decrease,Increase
TR032,Engineering,556.0,510.0,487.0,46.0,69.0,23.0,Increase,Increase,Increase
TR033,Computer Science,566.0,509.0,465.0,57.0,101.0,44.0,Increase,Increase,Increase
TR034,Management Science and Information Systems Studies,625.0,613.0,589.0,12.0,36.0,24.0,Increase,Increase,Increase
TR035,Theoretical Physics,590.0,543.0,554.0,47.0,36.0,-11.0,Increase,Decrease,Increase
TR038,Engineering with Management,589.0,532.0,499.0,57.0,90.0,33.0,Increase,Increase,Increase
TR039,Computer Science  Linguistics and a Language,443.0,454.0,435.0,-11.0,8.0,19.0,Decrease,Increase,Increase
TR040,Middle Eastern and European Languages and Cultures,520.0,466.0,485.0,54.0,35.0,-19.0,Increase,Decrease,Increase
TR041,Religion,417.0,368.0,347.0,49.0,70.0,21.0,Increase,Increase,Increase
TR042,Film,531.0,489.0,,42.0,,,Increase,Course for 1 year only,Course for 1 year only
TR043,History of Art and Architecture,498.0,393.0,,105.0,,,Increase,Course for 1 year only,Course for 1 year only
TR051,Medicine (HPAT required),743.0,735.0,730.0,8.0,13.0,5.0,Increase,Increase,Increase
TR052,Dental Science,625.0,613.0,590.0,12.0,35.0,23.0,Increase,Increase,Increase
TR053,Physiotherapy,590.0,566.0,533.0,24.0,57.0,33.0,Increase,Increase,Increase
TR054,Occupational Therapy,578.0,533.0,500.0,45.0,78.0,33.0,Increase,Increase,Increase
TR055,Radiation Therapy,577.0,543.0,510.0,34.0,67.0,33.0,Increase,Increase,Increase
TR056,Human Health and Disease,601.0,565.0,543.0,36.0,58.0,22.0,Increase,Increase,Increase
TR060,Biological and Biomedical Sciences,578.0,543.0,510.0,35.0,68.0,33.0,Increase,Increase,Increase
TR061,Chemical Sciences,558.0,517.0,488.0,41.0,70.0,29.0,Increase,Increase,Increase
TR062,Geography and Geoscience,495.0,473.0,435.0,22.0,60.0,38.0,Increase,Increase,Increase
TR063,Physical Sciences,554.0,498.0,498.0,56.0,56.0,0.0,Increase,No change,Increase
TR064,Environmental Science and Engineering,555.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TR072,Pharmacy,613.0,590.0,555.0,23.0,58.0,35.0,Increase,Increase,Increase
TR080,Global Business,613.0,589.0,565.0,24.0,48.0,24.0,Increase,Increase,Increase
TR081,Business  Economic and Social Studies (BESS),577.0,543.0,518.0,34.0,59.0,25.0,Increase,Increase,Increase
TR084,Social Studies (Social Work),497.0,462.0,420.0,35.0,77.0,42.0,Increase,Increase,Increase
TR085,Business Studies and French,564.0,540.0,509.0,24.0,55.0,31.0,Increase,Increase,Increase
TR086,Business Studies and German,530.0,509.0,474.0,21.0,56.0,35.0,Increase,Increase,Increase
TR087,Business Studies and Russian,487.0,474.0,467.0,13.0,20.0,7.0,Increase,Increase,Increase
TR089,Business Studies and Polish,391.0,444.0,393.0,-53.0,-2.0,51.0,Decrease,Increase,Decrease
TR090,Business Studies and Spanish,566.0,531.0,510.0,35.0,56.0,21.0,Increase,Increase,Increase
TR091,General Nursing (Meath and St James`s),462.0,429.0,393.0,33.0,69.0,36.0,Increase,Increase,Increase
TR093,General Nursing (Adelaide School of Nursing),473.0,430.0,378.0,43.0,95.0,52.0,Increase,Increase,Increase
TR095,Mental Health Nursing,442.0,408.0,358.0,34.0,84.0,50.0,Increase,Increase,Increase
TR097,Intellectual Disability Nursing,412.0,396.0,346.0,16.0,66.0,50.0,Increase,Increase,Increase
TR911,Children`s and General Nursing (Integrated),531.0,511.0,476.0,20.0,55.0,35.0,Increase,Increase,Increase
TR913,Midwifery,521.0,478.0,423.0,43.0,98.0,55.0,Increase,Increase,Increase
DN100,Architecture,555.0,510.0,473.0,45.0,82.0,37.0,Increase,Increase,Increase
DN120,Landscape Architecture,463.0,407.0,353.0,56.0,110.0,54.0,Increase,Increase,Increase
DN130,City Planning and Environmental Policy,445.0,407.0,367.0,38.0,78.0,40.0,Increase,Increase,Increase
DN150,Engineering (Common Entry),565.0,531.0,511.0,34.0,54.0,20.0,Increase,Increase,Increase
DN200,Science (options),577.0,533.0,521.0,44.0,56.0,12.0,Increase,Increase,Increase
DN201,Computer Science (Common Entry),554.0,510.0,488.0,44.0,66.0,22.0,Increase,Increase,Increase
DN230,Actuarial and Financial Studies,613.0,601.0,577.0,12.0,36.0,24.0,Increase,Increase,Increase
DN240,Sustainability,510.0,440.0,,70.0,,,Increase,Course for 1 year only,Course for 1 year only
DN250,Agricultural Science (options),454.0,456.0,420.0,-2.0,34.0,36.0,Decrease,Increase,Increase
DN261,Food Science,531.0,477.0,434.0,54.0,97.0,43.0,Increase,Increase,Increase
DN262,Human Nutrition,566.0,531.0,493.0,35.0,73.0,38.0,Increase,Increase,Increase
DN300,Veterinary Medicine - Undergraduate Entry,601.0,589.0,567.0,12.0,34.0,22.0,Increase,Increase,Increase
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DN310,Veterinary Nursing,521.0,478.0,441.0,43.0,80.0,37.0,Increase,Increase,Increase
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,737.0,735.0,6.0,8.0,2.0,Increase,Increase,Increase
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,,59.0,,2.0,,Course for 1 year only,Course for 1 year only,Increase
DN410,Radiography,566.0,534.0,507.0,32.0,59.0,27.0,Increase,Increase,Increase
DN411,Radiography - Graduate Entry,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DN420,Physiotherapy,601.0,578.0,542.0,23.0,59.0,36.0,Increase,Increase,Increase
DN425,Health and Performance Science,544.0,510.0,488.0,34.0,56.0,22.0,Increase,Increase,Increase
DN430,Sport and Exercise Management,484.0,455.0,436.0,29.0,48.0,19.0,Increase,Increase,Increase
DN440,Biomedical  Health and Life Sciences,613.0,590.0,565.0,23.0,48.0,25.0,Increase,Increase,Increase
DN450,General Nursing,462.0,429.0,398.0,33.0,64.0,31.0,Increase,Increase,Increase
DN451,Children`s and General Nursing (Integrated),533.0,509.0,462.0,24.0,71.0,47.0,Increase,Increase,Increase
DN452,Midwifery,510.0,489.0,409.0,21.0,101.0,80.0,Increase,Increase,Increase
DN453,Mental Health Nursing,442.0,397.0,379.0,45.0,63.0,18.0,Increase,Increase,Increase
DN520,Joint Honours (options),381.0,310.0,336.0,71.0,45.0,-26.0,Increase,Decrease,Increase
DN530,Humanities (options),397.0,340.0,348.0,57.0,49.0,-8.0,Increase,Decrease,Increase
DN541,Modern Languages (options),320.0,303.0,348.0,17.0,-28.0,-45.0,Increase,Decrease,Decrease
DN600,Law (options),576.0,546.0,520.0,30.0,56.0,26.0,Increase,Increase,Increase
DN610,Business and Law,573.0,545.0,521.0,28.0,52.0,24.0,Increase,Increase,Increase
DN650,Commerce,555.0,521.0,498.0,34.0,57.0,23.0,Increase,Increase,Increase
DN660,Commerce International (options),555.0,517.0,507.0,38.0,48.0,10.0,Increase,Increase,Increase
DN670,Economics and Finance,625.0,613.0,601.0,12.0,24.0,12.0,Increase,Increase,Increase
DN700,Social Sciences (options),475.0,421.0,388.0,54.0,87.0,33.0,Increase,Increase,Increase
DN710,Economics,534.0,498.0,476.0,36.0,58.0,22.0,Increase,Increase,Increase
DN720,Psychology,566.0,530.0,517.0,36.0,49.0,13.0,Increase,Increase,Increase
DN750,Social Policy and Sociology,421.0,378.0,330.0,43.0,91.0,48.0,Increase,Increase,Increase
DK810,Accounting and Finance,307.0,305.0,306.0,2.0,1.0,-1.0,Increase,Decrease,Increase
DK816,Business Studies,301.0,300.0,300.0,1.0,1.0,0.0,Increase,No change,Increase
DK820,Computing in Games Development,309.0,311.0,307.0,-2.0,2.0,4.0,Decrease,Increase,Increase
DK821,Computing in Software Development,320.0,302.0,301.0,18.0,19.0,1.0,Increase,Increase,Increase
DK822,Augmented and Virtual Reality,320.0,307.0,,13.0,,,Increase,Course for 1 year only,Course for 1 year only
DK830,Building Surveying,305.0,336.0,302.0,-31.0,3.0,34.0,Decrease,Increase,Increase
DK831,Architectural Technology,368.0,389.0,301.0,-21.0,67.0,88.0,Decrease,Increase,Increase
