code,title,points_r1_2021,points_r1_2020,points_r1_2019,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
CR130,Musical Theatre at CIT Cork School of Music,525.0,548.0,500.0,-23.0,25.0,48.0,Decrease,Increase,Increase
CR150,Business Information Systems,350.0,335.0,326.0,15.0,24.0,9.0,Increase,Increase,Increase
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450.0,,979.0,,-529.0,,Course for 1 year only,Course for 1 year only,Decrease
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,,620.0,,-220.0,,Course for 1 year only,Course for 1 year only,Decrease
CR225,Photography with New Media at CIT Crawford College,435.0,,920.0,,-485.0,,Course for 1 year only,Course for 1 year only,Decrease
CR305,Physical Sciences (Common Entry),260.0,282.0,279.0,-22.0,-19.0,3.0,Decrease,Increase,Decrease
CR310,IT Management,347.0,297.0,282.0,50.0,65.0,15.0,Increase,Increase,Increase
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,565.0,546.0,25.0,44.0,19.0,Increase,Increase,Increase
CR325,Pharmaceutical Biotechnology,466.0,398.0,388.0,68.0,78.0,10.0,Increase,Increase,Increase
CR333,Nutrition and Health Science,425.0,402.0,360.0,23.0,65.0,42.0,Increase,Increase,Increase
CR335,Biological Sciences (Common Entry),473.0,420.0,381.0,53.0,92.0,39.0,Increase,Increase,Increase
CR340,Analytical Chemistry with Quality Assurance,327.0,251.0,288.0,76.0,39.0,-37.0,Increase,Decrease,Increase
CR360,Instrument Engineering,301.0,261.0,291.0,40.0,10.0,-30.0,Increase,Decrease,Increase
CR365,Environmental Science and Sustainable Technology,262.0,253.0,334.0,9.0,-72.0,-81.0,Increase,Decrease,Decrease
CR370,Agri-Biosciences,368.0,397.0,408.0,-29.0,-40.0,-11.0,Decrease,Decrease,Decrease
CR400,Accounting,315.0,316.0,316.0,-1.0,-1.0,0.0,Decrease,No change,Decrease
CR420,Marketing,290.0,285.0,288.0,5.0,2.0,-3.0,Increase,Decrease,Increase
CR425,International Business with Language,279.0,298.0,300.0,-19.0,-21.0,-2.0,Decrease,Decrease,Decrease
CR430,Sport and Exercise Management,402.0,322.0,,80.0,,,Increase,Course for 1 year only,Course for 1 year only
CR435,Coaching Science and Sports Pedagogy,410.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CR440,Montessori Education,409.0,288.0,,121.0,,,Increase,Course for 1 year only,Course for 1 year only
CR500,Engineering (Common Entry),475.0,411.0,381.0,64.0,94.0,30.0,Increase,Increase,Increase
CR510,Sustainable Energy Engineering,320.0,320.0,319.0,0.0,1.0,1.0,No change,Increase,Increase
CR520,Biomedical Engineering,444.0,444.0,434.0,0.0,10.0,10.0,No change,Increase,Increase
CR560,Architectural Technology,375.0,308.0,288.0,67.0,87.0,20.0,Increase,Increase,Increase
CR565,Interior Architecture,431.0,359.0,336.0,72.0,95.0,23.0,Increase,Increase,Increase
CR570,Quantity Surveying,375.0,336.0,279.0,39.0,96.0,57.0,Increase,Increase,Increase
CR572,Construction Management,300.0,269.0,253.0,31.0,47.0,16.0,Increase,Increase,Increase
CR580,Electrical Engineering,342.0,318.0,344.0,24.0,-2.0,-26.0,Increase,Decrease,Decrease
CR590,Electronic Engineering,329.0,303.0,342.0,26.0,-13.0,-39.0,Increase,Decrease,Decrease
CR600,Visual Communications at CIT Crawford College of A,280.0,,587.0,,-307.0,,Course for 1 year only,Course for 1 year only,Decrease
CR660,Tourism Management,246.0,252.0,249.0,-6.0,-3.0,3.0,Decrease,Increase,Decrease
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,740.0,768.0,-131.0,-159.0,-28.0,Decrease,Decrease,Decrease
CR930,Home Economics and Business,518.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK101,Arts - 3 years,300.0,300.0,300.0,0.0,0.0,0.0,No change,No change,No change
CK102,Social Science,434.0,412.0,391.0,22.0,43.0,21.0,Increase,Increase,Increase
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,302.0,340.0,37.0,-1.0,-38.0,Increase,Decrease,Decrease
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,368.0,397.0,53.0,24.0,-29.0,Increase,Decrease,Increase
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,328.0,326.0,-16.0,-14.0,2.0,Decrease,Increase,Decrease
CK108,Arts International - 4 years,440.0,401.0,429.0,39.0,11.0,-28.0,Increase,Decrease,Increase
CK109,English - 3 years or 4 years (International Pathwa,367.0,318.0,347.0,49.0,20.0,-29.0,Increase,Decrease,Increase
CK110,World Languages,488.0,452.0,456.0,36.0,32.0,-4.0,Increase,Decrease,Increase
CK111,Early Years and Childhood Studies,409.0,419.0,398.0,-10.0,11.0,21.0,Decrease,Increase,Increase
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,330.0,324.0,41.0,47.0,6.0,Increase,Increase,Increase
CK113,Criminology - 3 years or 4 years (International Pa,464.0,423.0,408.0,41.0,56.0,15.0,Increase,Increase,Increase
CK114,Social Science (Youth and Community Work),,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK115,Social Work - Mature Applicants only,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,336.0,307.0,11.0,40.0,29.0,Increase,Increase,Increase
