,code,title,pointsR1,pointsR2
269,DC241,DigitalBusinessandInnovation,509.0,
270,DC291,rts(JointHonours)-MediaStudies,350.0,
271,DC292,rts(JointHonours)-Law,400.0,
272,DC293,rts(JointHonours)-InternationalLanguages,379.0,
273,DC294,ClimateandEnvironmentalSustainability,475.0,
274,DC295,rts(JointHonours)-Politics,349.0,
275,DL822,rtsManagement,254.0,
276,DL823,BusinessManagement,220.0,
277,DL825,ppliedPsychology,418.0,413.0
278,DL826,GraphicDesign,591.0,
279,DL827,rt,574.0,
280,DL832,nimation,989.0,
281,DL833,PhotographyandVisualMedia,671.0,671.0
282,DL836,CreativeComputing,235.0,
283,DL837,NewMediaStudies,298.0,293.0
284,DL838,CreativeMusicProduction,713.0,
285,DL839,InteractionandUserExperienceDesign,757.0,
286,DL840,DigitalMarketing,210.0,
287,DL841,EnglishandEqualityStudies,277.0,277.0
288,DL843,Film,987.0,874.0
289,DL844,Television,566.0,
290,DL845,DesignforFilm(degreeoptions),628.0,
291,GC200,Business,269.0,242.0
292,GC201,ccountingandFinance,260.0,226.0
293,GC230,ComputingScience,300.0,289.0
294,GC300,Business,264.0,264.0
295,GC301,ccountingandFinance,,251.0
296,GC302,Business-HRM,377.0,377.0
297,GC307,Business(Marketing),289.0,270.0
298,GC400,Business,250.0,228.0
299,GC401,ccountingandFinance,242.0,242.0
300,GC402,Business(HRM),,
301,GC403,Law,245.0,242.0
302,GC407,Business(Marketing),264.0,264.0
303,GC430,ComputingScience,251.0,251.0
304,GC450,CommunicationsandMediaProduction,225.0,225.0
305,GC462,DesignCommunication(portfolio),300.0,
306,GC489,Interiorrchitecture(portfolio),288.0,274.0
307,GC494,FashionDesign(portfolio),351.0,
308,BY001,Business,210.0,210.0
309,ID001,ccountingandFinance,,
310,ID002,BusinessStudies,,
311,D101,FirstYearrtandDesign(CommonEntryportfolio),554.0,
312,D102,GraphicDesignandMovingImageDesign(portfolio),538.0,
313,D103,TextileandSurfaceDesignandJewelleryandObjec,505.0,
314,D202,EducationandDesignorFinert(SecondLevelTea,591.0,
315,D204,Finert(portfolio),514.0,
316,D211,FashionDesign(portfolio),760.0,679.0
317,D212,ProductDesign(portfolio),413.0,
318,D215,VisualCulture,337.0,300.0
319,D217,Illustration(portfolio),738.0,
320,D222,InteractionDesign(portfolio),444.0,
321,NC003,Computing(Degreewardoptions),271.0,
322,NC005,HumanResourceManagement,301.0,
323,NC009,Business,300.0,
324,NC010,Psychology,420.0,
325,NC020,MarketingPractice,270.0,
326,NC022,ccountingandFinance,330.0,
327,NC023,TechnologyManagement(withspecialisations),266.0,
