code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
DC180,,530.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC181,,530.0,499.0,476.0,,31.0,54.0,23.0,Increase,Increase,Increase
DC190,,488.0,413.0,391.0,,75.0,97.0,22.0,Increase,Increase,Increase
DC193,,490.0,411.0,404.0,,79.0,86.0,7.0,Increase,Increase,Increase
DC194,,476.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC195,,500.0,425.0,401.0,,75.0,99.0,24.0,Increase,Increase,Increase
DC197,,510.0,423.0,402.0,,87.0,108.0,21.0,Increase,Increase,Increase
DC200,,511.0,422.0,381.0,,89.0,130.0,41.0,Increase,Increase,Increase
DC202,,511.0,500.0,467.0,,11.0,44.0,33.0,Increase,Increase,Increase
DC203,,462.0,435.0,424.0,,27.0,38.0,11.0,Increase,Increase,Increase
DC204,,558.0,522.0,484.0,,36.0,74.0,38.0,Increase,Increase,Increase
DC205,,565.0,531.0,490.0,,34.0,75.0,41.0,Increase,Increase,Increase
DC206,,521.0,499.0,443.0,,22.0,78.0,56.0,Increase,Increase,Increase
DC207,,521.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC208,,565.0,532.0,509.0,,33.0,56.0,23.0,Increase,Increase,Increase
DC209,,477.0,465.0,419.0,,12.0,58.0,46.0,Increase,Increase,Increase
DC210,,506.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC215,,456.0,454.0,414.0,,2.0,42.0,40.0,Increase,Increase,Increase
DC216,,420.0,418.0,368.0,,2.0,52.0,50.0,Increase,Increase,Increase
DC217,,382.0,370.0,347.0,,12.0,35.0,23.0,Increase,Increase,Increase
DC218,,521.0,500.0,467.0,,21.0,54.0,33.0,Increase,Increase,Increase
DC230,,431.0,435.0,400.0,,-4.0,31.0,35.0,Decrease,Increase,Increase
DC231,,398.0,397.0,387.0,,1.0,11.0,10.0,Increase,Increase,Increase
DC232,,469.0,466.0,453.0,,3.0,16.0,13.0,Increase,Increase,Increase
DC235,,302.0,309.0,307.0,,-7.0,-5.0,2.0,Decrease,Increase,Decrease
DC238,,387.0,377.0,358.0,,10.0,29.0,19.0,Increase,Increase,Increase
DC240,,499.0,476.0,451.0,,23.0,48.0,25.0,Increase,Increase,Increase
DC241,,509.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC291,,350.0,376.0,349.0,,-26.0,1.0,27.0,Decrease,Increase,Increase
DC292,,400.0,403.0,356.0,,-3.0,44.0,47.0,Decrease,Increase,Increase
DC293,,379.0,377.0,369.0,,2.0,10.0,8.0,Increase,Increase,Increase
DC294,,475.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC295,,349.0,376.0,348.0,,-27.0,1.0,28.0,Decrease,Increase,Increase
DL822,,254.0,229.0,209.0,,25.0,45.0,20.0,Increase,Increase,Increase
DL823,,220.0,235.0,260.0,,-15.0,-40.0,-25.0,Decrease,Decrease,Decrease
DL825,,418.0,379.0,349.0,,39.0,69.0,30.0,Increase,Increase,Increase
DL826,,591.0,855.0,736.0,,-264.0,-145.0,119.0,Decrease,Increase,Decrease
DL827,,574.0,572.0,583.0,,2.0,-9.0,-11.0,Increase,Decrease,Decrease
DL832,,989.0,920.0,855.0,,69.0,134.0,65.0,Increase,Increase,Increase
DL833,,671.0,650.0,636.0,,21.0,35.0,14.0,Increase,Increase,Increase
DL836,,235.0,219.0,217.0,,16.0,18.0,2.0,Increase,Increase,Increase
DL837,,298.0,201.0,290.0,,97.0,8.0,-89.0,Increase,Decrease,Increase
DL838,,713.0,754.0,746.0,,-41.0,-33.0,8.0,Decrease,Increase,Decrease
DL839,,757.0,683.0,,,74.0,,,Increase,Course for 1 year only,Course for 1 year only
DL840,,210.0,228.0,,,-18.0,,,Decrease,Course for 1 year only,Course for 1 year only
DL841,,277.0,276.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
DL843,,987.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DL844,,566.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DL845,,628.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC200,,269.0,252.0,269.0,,17.0,0.0,-17.0,Increase,Decrease,No change
GC201,,260.0,303.0,251.0,,-43.0,9.0,52.0,Decrease,Increase,Increase
GC230,,300.0,335.0,228.0,,-35.0,72.0,107.0,Decrease,Increase,Increase
GC300,,264.0,429.0,251.0,,-165.0,13.0,178.0,Decrease,Increase,Increase
GC301,,,253.0,307.0,,,,-54.0,Course for 1 year only,Decrease,Course for 1 year only
GC302,,377.0,,269.0,,,108.0,,Course for 1 year only,Course for 1 year only,Increase
GC307,,289.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC400,,250.0,248.0,246.0,,2.0,4.0,2.0,Increase,Increase,Increase
GC401,,242.0,240.0,181.0,,2.0,61.0,59.0,Increase,Increase,Increase
GC402,,,264.0,217.0,,,,47.0,Course for 1 year only,Increase,Course for 1 year only
GC403,,245.0,244.0,225.0,,1.0,20.0,19.0,Increase,Increase,Increase
GC407,,264.0,280.0,246.0,,-16.0,18.0,34.0,Decrease,Increase,Increase
GC430,,251.0,252.0,217.0,,-1.0,34.0,35.0,Decrease,Increase,Increase
GC450,,225.0,254.0,227.0,,-29.0,-2.0,27.0,Decrease,Increase,Decrease
GC462,,300.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC489,,288.0,254.0,267.0,,34.0,21.0,-13.0,Increase,Decrease,Increase
GC494,,351.0,337.0,,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
BY001,,210.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
ID001,,,203.0,229.0,,,,-26.0,Course for 1 year only,Decrease,Course for 1 year only
ID002,,,294.0,285.0,,,,9.0,Course for 1 year only,Increase,Course for 1 year only
AD101,,554.0,,0.0,,,554.0,,Course for 1 year only,Course for 1 year only,Increase
AD102,,538.0,,0.0,,,538.0,,Course for 1 year only,Course for 1 year only,Increase
AD103,,505.0,,0.0,,,505.0,,Course for 1 year only,Course for 1 year only,Increase
AD202,,591.0,,0.0,,,591.0,,Course for 1 year only,Course for 1 year only,Increase
AD204,,514.0,,0.0,,,514.0,,Course for 1 year only,Course for 1 year only,Increase
AD211,,760.0,,0.0,,,760.0,,Course for 1 year only,Course for 1 year only,Increase
AD212,,413.0,,0.0,,,413.0,,Course for 1 year only,Course for 1 year only,Increase
AD215,,337.0,377.0,300.0,,-40.0,37.0,77.0,Decrease,Increase,Increase
AD217,,738.0,,0.0,,,738.0,,Course for 1 year only,Course for 1 year only,Increase
AD222,,444.0,,0.0,,,444.0,,Course for 1 year only,Course for 1 year only,Increase
NC003,,271.0,260.0,261.0,,11.0,10.0,-1.0,Increase,Decrease,Increase
NC005,,301.0,300.0,297.0,,1.0,4.0,3.0,Increase,Increase,Increase
NC009,,300.0,300.0,297.0,,0.0,3.0,3.0,No change,Increase,Increase
NC010,,420.0,400.0,366.0,,20.0,54.0,34.0,Increase,Increase,Increase
NC020,,270.0,280.0,270.0,,-10.0,0.0,10.0,Decrease,Increase,No change
NC022,,330.0,337.0,338.0,,-7.0,-8.0,-1.0,Decrease,Decrease,Decrease
NC023,,266.0,261.0,260.0,,5.0,6.0,1.0,Increase,Increase,Increase
NC030,,251.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
RC001,,741.0,733.0,729.0,,8.0,12.0,4.0,Increase,Increase,Increase
RC004,,589.0,566.0,532.0,,23.0,57.0,34.0,Increase,Increase,Increase
RC005,,613.0,579.0,555.0,,34.0,58.0,24.0,Increase,Increase,Increase
RC101,,,,60.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
NM801,,262.0,220.0,,,42.0,,,Increase,Course for 1 year only,Course for 1 year only
NM802,,228.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU801,,235.0,235.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU802,,309.0,317.0,,,-8.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU804,,270.0,271.0,,,-1.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU805,,466.0,402.0,,,64.0,,,Increase,Course for 1 year only,Course for 1 year only
TU807,,274.0,276.0,,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU810,,271.0,270.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU811,,440.0,411.0,,,29.0,,,Increase,Course for 1 year only,Course for 1 year only
TU812,,278.0,270.0,,,8.0,,,Increase,Course for 1 year only,Course for 1 year only
TU814,,253.0,285.0,,,-32.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU828,,300.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU829,,248.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU831,,423.0,410.0,,,13.0,,,Increase,Course for 1 year only,Course for 1 year only
TU832,,644.0,622.0,,,22.0,,,Increase,Course for 1 year only,Course for 1 year only
TU833,,396.0,367.0,,,29.0,,,Increase,Course for 1 year only,Course for 1 year only
TU834,,315.0,288.0,,,27.0,,,Increase,Course for 1 year only,Course for 1 year only
TU835,,330.0,313.0,,,17.0,,,Increase,Course for 1 year only,Course for 1 year only
TU836,,411.0,401.0,,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TU837,,413.0,385.0,,,28.0,,,Increase,Course for 1 year only,Course for 1 year only
TU838,,307.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU851,,400.0,349.0,,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU852,,477.0,476.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU854,,510.0,476.0,,,34.0,,,Increase,Course for 1 year only,Course for 1 year only
TU855,,322.0,331.0,,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU856,,499.0,476.0,,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU857,,403.0,391.0,,,12.0,,,Increase,Course for 1 year only,Course for 1 year only
TU858,,395.0,377.0,,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU859,,251.0,217.0,,,34.0,,,Increase,Course for 1 year only,Course for 1 year only
TU860,,270.0,260.0,,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TU861,,235.0,308.0,,,-73.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU862,,262.0,226.0,,,36.0,,,Increase,Course for 1 year only,Course for 1 year only
TU863,,282.0,280.0,,,2.0,,,Increase,Course for 1 year only,Course for 1 year only
TU864,,500.0,400.0,,,100.0,,,Increase,Course for 1 year only,Course for 1 year only
TU865,,235.0,226.0,,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
TU866,,522.0,487.0,,,35.0,,,Increase,Course for 1 year only,Course for 1 year only
TU867,,576.0,524.0,,,52.0,,,Increase,Course for 1 year only,Course for 1 year only
TU868,,542.0,510.0,,,32.0,,,Increase,Course for 1 year only,Course for 1 year only
TU869,,387.0,336.0,,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU870,,601.0,578.0,,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU871,,532.0,509.0,,,23.0,,,Increase,Course for 1 year only,Course for 1 year only
TU872,,487.0,491.0,,,-4.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU874,,294.0,341.0,,,-47.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU875,,451.0,400.0,,,51.0,,,Increase,Course for 1 year only,Course for 1 year only
TU876,,445.0,377.0,,,68.0,,,Increase,Course for 1 year only,Course for 1 year only
TU877,,314.0,308.0,,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU878,,339.0,337.0,,,2.0,,,Increase,Course for 1 year only,Course for 1 year only
