code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
TU879,,346.0,351.0,,,-5.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU880,,412.0,578.0,,,-166.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU881,,309.0,318.0,,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU882,,380.0,397.0,,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU902,,270.0,271.0,,,-1.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU903,,477.0,463.0,,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
TU904,,462.0,462.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU905,,460.0,465.0,,,-5.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU906,,386.0,395.0,,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU907,,300.0,300.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU910,,420.0,444.0,,,-24.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU912,,331.0,330.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU914,,322.0,324.0,,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU917,,356.0,342.0,,,14.0,,,Increase,Course for 1 year only,Course for 1 year only
TU918,,463.0,451.0,,,12.0,,,Increase,Course for 1 year only,Course for 1 year only
TU919,,219.0,228.0,,,-9.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU920,,270.0,270.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU921,,230.0,212.0,,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU922,,412.0,418.0,,,-6.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU924,,307.0,307.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU925,,307.0,301.0,,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU932,,211.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU933,,251.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU935,,300.0,300.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU936,,484.0,410.0,,,74.0,,,Increase,Course for 1 year only,Course for 1 year only
TU941,,311.0,249.0,,,62.0,,,Increase,Course for 1 year only,Course for 1 year only
TU942,,252.0,212.0,,,40.0,,,Increase,Course for 1 year only,Course for 1 year only
TU943,,261.0,278.0,,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU944,,336.0,316.0,,,20.0,,,Increase,Course for 1 year only,Course for 1 year only
TU951,,244.0,184.0,,,60.0,,,Increase,Course for 1 year only,Course for 1 year only
TU952,,309.0,300.0,,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
TU953,,308.0,290.0,,,18.0,,,Increase,Course for 1 year only,Course for 1 year only
TU954,,326.0,356.0,,,-30.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU955,,275.0,217.0,,,58.0,,,Increase,Course for 1 year only,Course for 1 year only
TU961,,536.0,608.0,,,-72.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU962,,448.0,379.0,,,69.0,,,Increase,Course for 1 year only,Course for 1 year only
TU963,,364.0,416.0,,,-52.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU965,,357.0,356.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU967,,298.0,308.0,,,-10.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU973,,700.0,717.0,,,-17.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU974,,549.0,709.0,,,-160.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU975,,544.0,632.0,,,-88.0,,,Decrease,Course for 1 year only,Course for 1 year only
TU976,,700.0,695.0,,,5.0,,,Increase,Course for 1 year only,Course for 1 year only
TU978,,299.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU981,,280.0,280.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU982,,369.0,320.0,,,49.0,,,Increase,Course for 1 year only,Course for 1 year only
TU983,,462.0,456.0,,,6.0,,,Increase,Course for 1 year only,Course for 1 year only
TU984,,414.0,381.0,,,33.0,,,Increase,Course for 1 year only,Course for 1 year only
TU985,,367.0,322.0,,,45.0,,,Increase,Course for 1 year only,Course for 1 year only
TU989,,270.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TU991,,326.0,325.0,,,1.0,,,Increase,Course for 1 year only,Course for 1 year only
TU992,,251.0,251.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
TU995,,378.0,367.0,,,11.0,,,Increase,Course for 1 year only,Course for 1 year only
TU996,,407.0,400.0,,,7.0,,,Increase,Course for 1 year only,Course for 1 year only
TU997,,320.0,310.0,,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
TR002,,508.0,435.0,414.0,,73.0,94.0,21.0,Increase,Increase,Increase
TR003,,552.0,497.0,486.0,,55.0,66.0,11.0,Increase,Increase,Increase
